Name,Short_address,Phone,Long_address,lon,lat,address
Campbell Ford Sales,1500 Carling Avenue,613-725-3611,"1500 Carling Avenue, Ottawa",-75.74063699999999,45.3814404,"1500 carling ave, ottawa, on k1z 0a3, canada"
Canadian Tire,8181 Campeau  Drive,613-599-5105,"8181 Campeau  Drive, Ottawa",-75.9185459,45.3068951,"8181 campeau dr, kanata, on k2t 1b7, canada"
Canadian Tire,330 Coventry Road,613-746-4303 ,"330 Coventry Road, Ottawa",-75.650735,45.4200357,"330 coventry rd, ottawa, on k1k 4s3, canada"
Car-O-Practor,5949 Ottawa Street,613-838-2184,"5949 Ottawa Street, Ottawa",-75.8194951,45.1908903,"5949 ottawa st, richmond, on k0a 2z0, canada"
Charlie's Auto Service,1501 Sieveright Avenue,613-736-0013,"1501 Sieveright Avenue, Ottawa",-75.6395441,45.3554246,"1501 sieveright ave, gloucester, on k1t 4a2, canada"
Clarmo Auto Repair,7893 Victoria Street,613-821-2286,"7893 Victoria Street, Ottawa",-75.4917467,45.2287287,"7893 victoria st, metcalfe, on k0a 2p0, canada"
Colonial Automotive,3300  Rideau  Road,613-822-3445,"3300  Rideau  Road, Ottawa",-75.5694295,45.3009521,"3300 rideau rd, gloucester, on k1x 1g8, canada"
Dave Rennies Autocare,801 Richmond Road,613-728-0214,"801 Richmond Road, Ottawa",-75.7714443,45.3814287,"801 richmond rd, ottawa, on k2a 0g7, canada"
Denis Auto Centre Inc.,7 Sweetnam Drive,613-836-6485,"7 Sweetnam Drive, Ottawa",-75.917108,45.2773066,"7 sweetnam dr, stittsville, on k2s 1g3, canada"
Don Fournier Service Centre,1768 Queensdale Avenue,613-521-5827,"1768 Queensdale Avenue, Ottawa",-75.6215157,45.348567,"1768 queensdale ave, gloucester, on k1t 1j6, canada"
Donnelly Ford Lincoln,2496 Bank Street,613-733-6931,"2496 Bank Street, Ottawa",-75.64403639999999,45.3529904,"2496 bank st, ottawa, on k1v 8s2, canada"
Donnelly Mitsubishi,492 Terry Fox Drive,613-733-7500,"492 Terry Fox Drive, Ottawa",-75.9207742,45.3093052,"492 terry fox dr, ottawa, on k1v 0w8, canada"
Donnelly's Fleet Centre,1325 Johnston Road,613-260-6152,"1325 Johnston Road, Ottawa",-75.6525511,45.36293089999999,"1325 johnston rd, ottawa, on k1v 8z1, canada"
Doug's Auto Repair,6 Bexley Place,613-820-4810,"6 Bexley Place, Ottawa",-75.81991190000001,45.3299588,"6 bexley pl, nepean, on k2h 8w1, canada"
Dragon Automotive ,916 Gladstone Avenue,613-236-1615,"916 Gladstone Avenue, Ottawa",-75.7125618,45.4042311,"916 gladstone ave, ottawa, on k1r 6y4, canada"
Duntech Automotive Ltd.,15 Campbell Reid Court,613-254-7390,"15 Campbell Reid Court, Ottawa",-75.9556709,45.37361689999999,"15 campbell reid ct, kanata, on k2k 1x7, canada"
Duss Brothers Motors Ltd,1380 Wellington Street,613-729-3245,"1380 Wellington Street, Ottawa",-75.7394456,45.39778949999999,"1380 wellington st w, ottawa, on k1y 0k4, canada"
Edsons  Auto,1690 Doheny Street,613-792-1110,"1690 Doheny Street, Ottawa",-75.74993549999999,45.37737569999999,"1690 doheny st, ottawa, on k2a 2c4, canada"
Four Seasons Auto Services,12 Cleopatra Drive,613-226-3636,"12 Cleopatra Drive, Ottawa",-75.721125,45.3266617,"12 cleopatra dr, nepean, on k2g 0b3, canada"
Frisby Tire,400 Hazeldean Road,613-591-8473,"400 Hazeldean Road, Ottawa",-75.8769603,45.3032778,"400 hazeldean rd, kanata, on k2l 1t8, canada"
GG Auto,926  Merivale Road,613-798-2596,"926  Merivale Road, Ottawa",-75.7334012,45.3823225,"926 merivale rd, ottawa, on k1z 5z9, canada"
Gallagher's Garage Ltd,15 Campbell Reid Court,613-592-4305,"15 Campbell Reid Court, Ottawa",-75.9556709,45.37361689999999,"15 campbell reid ct, kanata, on k2k 1x7, canada"
Gary's Automotive,2656  St. Joseph Boulevard,613-837-0406,"2656  St. Joseph Boulevard, Ottawa",-75.52330289999999,45.4714155,"2656 st joseph blvd, orléans, on k1c 1g3, canada"
Global Auto Care Inc.,1796 Woodward Drive,613-821-0017,"1796 Woodward Drive, Ottawa",-75.7514569,45.3696938,"1796 woodward dr, ottawa, on k2c 0p7, canada"
Grant Street Garage Inc.,1 Grant Street,613-728-3729,"1 Grant Street, Ottawa",-75.7275491,45.40229799999999,"1 grant st, ottawa, on k1y 2w8, canada"
Guilbault Automotive,7 Carbrooke Street,613-836-2732,"7 Carbrooke Street, Ottawa",-75.8791186,45.3023544,"7 carbrooke st, kanata, on k2l 1b1, canada"
H&D Lytle Service Station Ltd.,149 Bentley Avenue,613-228-1183,"149 Bentley Avenue, Ottawa",-75.7100827,45.3377756,"149 bentley ave, nepean, on k2e 6t9, canada"
Halley Service Centre Ltd.,865 Montreal Road,613-749-9649,"865 Montreal Road, Ottawa",-75.6316385,45.44643689999999,"865 montreal rd, ottawa, on k1k 0s9, canada"
J & D Auto Tech Inc.,1030 Pleasant Park Road,613-731-9624,"1030 Pleasant Park Road, Ottawa",-75.6218727,45.3953459,"1030 pleasant park rd, ottawa, on k1g 2a1, canada"
J & M Auto Service,2405 Page Road,613-824-0837,"2405 Page Road, Ottawa",-75.5250413,45.443365,"2405 pagé rd, orléans, on k1w 1h2, canada"
J & S Service Station,2506 Innes Road,613-841-6715,"2506 Innes Road, Ottawa",-75.5694322,45.4293719,"2506 innes rd, gloucester, on k1b 3j9, canada"
Jack May Chevrolet Buick GMC Limited,3788 Prince of Wales Drive,613-692-3553,"3788 Prince of Wales Drive, Ottawa",-75.7115376,45.2514011,"3788 prince of wales dr, ottawa, on k2c 3h2, canada"
Jim Dickinson Auto Tech,1150 Gladstone Avenue,613-721-6244,"1150 Gladstone Avenue, Ottawa",-75.7255272,45.400079,"1150 gladstone ave, ottawa, on k1y 3h6, canada"
Jim's Hi Tech Auto Repairs Inc.,11 Sweetnam Drive,613-831-1931,"11 Sweetnam Drive, Ottawa",-75.91637209999999,45.2763925,"11 sweetnam dr, stittsville, on k2s 1g3, canada"
Joe's Auto,2526 Innes Road,613-824-6550,"2526 Innes Road, Ottawa",-75.5685929,45.429668,"2526 innes rd, gloucester, on k1b 3x9, canada"
Kia 417,1599 Star Top Road,613-746-7521,"1599 Star Top Road, Ottawa",-75.6141791,45.4139744,"1599 star top rd, gloucester, on k1b 5p5, canada"
Lamoureux Auto Centre Inc.,2040 Lanthier Drive,613-824-3064,"2040 Lanthier Drive, Ottawa",-75.4923586,45.4569587,"2040 lanthier dr, orléans, on k4a 3v5, canada"
Lebrun Service Centre,401 St. Laurent Boulevard,613-746-8417,"401 St. Laurent Boulevard, Ottawa",-75.6504928,45.4481911,"401 st laurent blvd, ottawa, on k1k 2z6, canada"
Main Street Automotive,2319 Community Way,613-489-0948,"2319 Community Way, Ottawa",-75.7126518,45.1297205,"2319 community way, north gower, on k0a 2t0, canada"
Maxwell's Auto Repair,1455 Youville Road,613-841-1386,"1455 Youville Road, Ottawa",-75.54848799999999,45.463894,"1455 youville dr, orléans, on k1c 2x8, canada"
McCarthy Automotive,1150 Heron Road,613-688-0182,"1150 Heron Road, Ottawa",-75.6706366,45.3780364,"1150 heron rd, ottawa, on k1v 6b2, canada"
Midas,1064 St. Laurent Boulevard,613-744-1900,"1064 St. Laurent Boulevard, Ottawa",-75.63936489999999,45.4266438,"1064 st laurent blvd, ottawa, on k1k 3b4, canada"
Midas,1691 Bank Street,613-731-0051,"1691 Bank Street, Ottawa",-75.6656055,45.37575289999999,"1691 bank st, ottawa, on k1v 7z3, canada"
Midas,450 Bronson Avenue,613-232-4275,"450 Bronson Avenue, Ottawa",-75.70418889999999,45.4080947,"450 bronson ave, ottawa, on k1r 6j6, canada"
Midas,1772 Carling Avenue,613-722-7621,"1772 Carling Avenue, Ottawa",-75.7534944,45.3772774,"1772 carling ave, ottawa, on k2a 1e1, canada"
Mister Muffler,865 St. Laurent Boulevard,613-749-2157,"865 St. Laurent Boulevard, Ottawa",-75.64193,45.43312479999999,"865 st laurent blvd, ottawa, on k1k 3b1, canada"
Motor Medics Ltd.,1438 Hunt Club Road,613-523-7711,"1438 Hunt Club Road, Ottawa",-75.6397009,45.3562932,"1438 hunt club rd, ottawa, on k1t 1m6, canada"
Mr. Lube,1841 Bank Street,613-733-8821,"1841 Bank Street, Ottawa",-75.66294309999999,45.3711566,"1841 bank st, ottawa, on k1v 7z6, canada"
Mr. Lube,1442 Baseline Road,613-224-2991,"1442 Baseline Road, Ottawa",-75.7400296,45.36062,"1442 baseline rd, ottawa, on k2c 0b2, canada"
Mr. Lube,1850 Robertson  Road,613-828-8171,"1850 Robertson  Road, Ottawa",-75.81950909999999,45.3270168,"1850 robertson rd, nepean, on k2h 5b8, canada"
Mr. Lube,1976 St. Joseph Boulevard,613-841-6132,"1976 St. Joseph Boulevard, Ottawa",-75.5412939,45.4632348,"1976 st joseph blvd, orléans, on k1c 1e4, canada"
Mr. Lube Barrhaven,3767 Strandherd Drive,613-825-8777,"3767 Strandherd Drive, Ottawa",-75.749275,45.26808490000001,"3767 strandherd dr, nepean, on k2j 4b1, canada"
Mr. Lube Kanata,639 Terry Fox Drive,613-831-7979,"639 Terry Fox Drive, Ottawa",-75.9014157,45.2978766,"639 terry fox dr, kanata, on k2l 4h9, canada"
Myers Cadillac Chrevolet Inc.,1200 Baseline Road,613-225-1260,"1200 Baseline Road, Ottawa",-75.7304499,45.3645966,"1200 baseline rd, ottawa, on k2c 0a6, canada"
Myers Infiniti Nissan,2185 Robertson Road,613-596-1515,"2185 Robertson Road, Ottawa",-75.8405825,45.3202329,"2185 robertson rd, nepean, on k2h 5z2, canada"
Myers Kanata Chev Buick GMC,2500 Palladium Drive,613-596-9221,"2500 Palladium Drive, Ottawa",-75.9319995,45.2939126,"2500 palladium dr, stittsville, on k2s 1b9, canada"
Oil Changers,361 Vantage Drive,613-837-3509,"361 Vantage Drive, Ottawa",-75.4907119,45.4588678,"361 vantage dr, orléans, on k4a 3w2, canada"
Oil Changers,2471 Bank Street,613-733-7341,"2471 Bank Street, Ottawa",-75.6464894,45.3541388,"2471 bank st, ottawa, on k1v 8r9, canada"
Oil Changers,1457  Woodroffe Avenue,613-274-7999,"1457  Woodroffe Avenue, Ottawa",-75.7546831,45.33946040000001,"1457 woodroffe ave, nepean, on k2g 1w1, canada"
Oil Changers ,1448 Prince of Wales Drive,613-228-8087,"1448 Prince of Wales Drive, Ottawa",-75.7016123,45.3678427,"1448 prince of wales dr, ottawa, on k2c 1p1, canada"
Oil Changers ,1189 Carp Road,613-836-2229,"1189 Carp Road, Ottawa",-75.93743,45.26782,"1189 carp rd, stittsville, on k2s 1b9, canada"
Ontario Transmission Services,299 Montgomery Street,613-746-3006,"299 Montgomery Street, Ottawa",-75.6678807,45.4328814,"299 montgomery st, vanier, on k1l 7w8, canada"
Orleans Autopro,2193 St. Joseph Boulevard,613-834-8884,"2193 St. Joseph Boulevard, Ottawa",-75.5335693,45.4674454,"2193 st joseph blvd, orléans, on k1c 1e7, canada"
Ottawa Tires & Rims,5370 Canotek Road,613-745-3030,"5370 Canotek Road, Ottawa",-75.58197229999999,45.4553761,"5370 canotek rd, gloucester, on k1j 9e8, canada"
Otto's BMW,660 Hunt Club Road,613-725-3048,"660 Hunt Club Road, Ottawa",-75.6717118,45.3423147,"660 hunt club rd, ottawa, on k1v 1c1, canada"
Pathway Hyundai,1375 Youville Drive,613-837-4222,"1375 Youville Drive, Ottawa",-75.5490027,45.4625311,"1375 youville dr, orléans, on k1c 4r1, canada"
Precision Autoworks,1401 Cyrville Road,613-746-7555,"1401 Cyrville Road, Ottawa",-75.6201177,45.4212532,"1401 cyrville rd, gloucester, on k1b 3l7, canada"
Pro Oil Change,500 Eagleson  Road,613-599-6095,"500 Eagleson  Road, Ottawa",-75.87061640000002,45.2909203,"500 eagleson rd, kanata, on k2l 2x1, canada"
Pro Tech Automotive,5536 Ann Street,613-692-1823,"5536 Ann Street, Ottawa",-75.68570509999999,45.225047000000004,"5536 ann st, manotick, on k4m, canada"
R&R Auto (Ottawa),164 Cardevco Road,613-831-2006,"164 Cardevco Road, Ottawa",-75.977553,45.2942081,"164 cardevco rd, carp, on k0a 1l0, canada"
Redshaw Auto Care,25 Hawthorne Avenue,613-235-8342,"25 Hawthorne Avenue, Ottawa",-75.6818291,45.41229120000001,"25 hawthorne ave, ottawa, on k1s 0a9, canada"
Rideau Valley Automotive,6717 Rideau Valley Drive,613-489-3754,"6717 Rideau Valley Drive, Ottawa",-75.6473822,45.150631,"6717 rideau valley dr s, kars, on k0a 2e0, canada"
Riviera Automobiles,102 Westhunt Road,613-831-1304,"102 Westhunt Road, Ottawa",-75.97364259999999,45.2944876,"102 westhunt dr, carp, on k0a 1l0, canada"
Romeo's Garage & Body Shop Ltd.,195 Hinchey Avenue,613-729-7666,"195 Hinchey Avenue, Ottawa",-75.7302358,45.4065748,"195 hinchey ave, ottawa, on k1y 1l6, canada"
Roy Barber Services (2007) Ltd,1720 Bank Street,613-730-1720,"1720 Bank Street, Ottawa",-75.666068,45.374547,"1720 bank st, ottawa, on k1v 7y6, canada"
Roy Rump & Sons Tire and Auto Centre,1037 Pinecrest Road,613-828-3213,"1037 Pinecrest Road, Ottawa",-75.79088,45.352191,"1037 pinecrest rd, ottawa, on k2b 6b6, canada"
SNS Motors,709 Industrial Avenue,613-739-0020,"709 Industrial Avenue, Ottawa",-75.6375916,45.4102925,"709 industrial ave, ottawa, on k1g 0z1, canada"
Scandinavian Auto Service Ltd.,28 Bentley Avenue,613-225-3213,"28 Bentley Avenue, Ottawa",-75.71951,45.3324188,"28 bentley ave, nepean, on k2e 6t7, canada"
Speedy Auto Service,2285 Carling Avenue,613-820-9433,"2285 Carling Avenue, Ottawa",-75.7752991,45.3684843,"2285 carling ave, ottawa, on k2b 7g3, canada"
Stagra Automotive,1375 Greely Lane,613-821-0238,"1375 Greely Lane, Ottawa",-75.5716288,45.2597641,"1375 greely ln, greely, on k4p 1a1, canada"
Steves Auto,2118 8th Line Road,613-821-4443,"2118 8th Line Road, Ottawa",-75.48519519999999,45.2580515,"2118 8th line rd, metcalfe, on k0a 2p0, canada"
Swan's Garage,1486 Merivale Road,613-226-2452,"1486 Merivale Road, Ottawa",-75.73618540000001,45.35992,"1486 merivale rd, nepean, on k2e 6z5, canada"
Tenth Line Automotive,1685 Tenth Line Road,613-837-1009,"1685 Tenth Line Road, Ottawa",-75.49142309999999,45.4680657,"1685 tenth line rd, orléans, on k1e 3e8, canada"
The Wheel Deal,36 Bentley Avenue,613-224-1353,"36 Bentley Avenue, Ottawa",-75.7184559,45.332684,"36 bentley ave, nepean, on k2e 6t8, canada"
Tire Plus,1292 Baseline Road,613-744-7533,"1292 Baseline Road, Ottawa",-75.733154,45.3639022,"1292 baseline rd, ottawa, on k2c 0a9, canada"
Tony's Kar Kare,1930 Robertson Road,613-828-9885,"1930 Robertson Road, Ottawa",-75.8233013,45.3257377,"1930 robertson rd, nepean, on k2h 5b9, canada"
Treff's Tire & Auto Centre,2293 Carling Avenue,613-596-6300,"2293 Carling Avenue, Ottawa",-75.7755366,45.3682768,"2293 carling ave, ottawa, on k2b 7g3, canada"
Triole Automotive Group,1166 Old Innes  Road,613-748-5985,"1166 Old Innes  Road, Ottawa",-75.6199544,45.4091768,"1166 old innes rd, ottawa, on k1b 3v2, canada"
Vance's Service Centre,1861 March Road,613-839-3317,"1861 March Road, Ottawa",-76.0038634,45.347113,"1861 march rd, carp, on k0a 1l0, canada"
Vinnette Auto Service,52 McArthur Avenue,613-741-6282,"52 McArthur Avenue, Ottawa",-75.66576409999999,45.4306197,"52 mcarthur ave, vanier, on k1l 7w2, canada"
Wagorn's Garage,1349 Cyrville Road,613-749-4911,"1349 Cyrville Road, Ottawa",-75.62296959999999,45.4219993,"1349 cyrville rd, gloucester, on k1b 3l7, canada"
Wallace Service Centre Ltd.,5217 Bank Street,613-822-6180,"5217 Bank Street, Ottawa",-75.5738228,45.2922342,"5217 bank st, gloucester, on k1x 1h2, canada"
Young Street Garage,22 Young Street,613-234-2910,"22 Young Street, Ottawa",-75.7114057,45.4022655,"22 young st, ottawa, on k1s 3h5, canada"
